Word,Count
the,13863
of,6668
and,6073
to,4584
a,4551
in,3966
that,2858
his,2459
it,2062
I,1845
with,1708
is,1704
was,1626
as,1608
he,1529
for,1419
all,1419
this,1287
at,1241
by,1161
not,1094
from,1075
but,1066
be,1039
him,1009
on,1009
so,896
one,858
you,858
or,775
had,764
have,759
whale,683
were,676
But,675
The,646
which,639
there,619
their,613
are,603
now,602
me,595
they,580
an,579
some,576
my,561
like,551
then,546
when,543
upon,541
into,520
out,506
more,497
up,494
no,477
them,455
old,428
would,417
if,416
been,415
other,409
Ahab,408
we,401
man,401
over,398
what,390
ye,390
will,381
these,380
its,374
ship,365
only,356
sea,350
down,349
any,347
such,338
And,334
her,318
though,315
time,311
very,309
than,309
who,307
about,307
long,302
those,296
still,294
said,293
great,291
must,290
yet,290
before,289
has,287
CHAPTER,284
seemed,281
most,277
two,276
do,274
last,272
It,261
head,259
your,250
way,248
little,246
after,244
may,241
did,239
Whale,238
round,238
see,236
boat,236
whales,234
here,233
again,233
three,229
through,224
thou,221
us,221
In,219
Stubb,218
every,218
much,215
could,214
being,213
while,213
first,210
say,208
same,208
men,206
own,204
our,201
off,200
himself,196
Queequeg,193
For,192
can,192
never,191
ever,189
He,188
almost,187
Captain,187
hand,186
side,185
might,182
should,182
thing,181
where,181
how,178
even,176
made,176
good,176
too,172
go,168
away,163
many,161
Starbuck,160
well,159
among,159
without,159
water,159
white,159
seen,155
far,155
eyes,154
sort,152
deck,152
day,151
part,151
cried,148
thought,147
world,146
know,143
back,142
come,141
once,141
Sperm,139
whole,136
So,135
boats,135
air,135
against,133
crew,130
came,129
things,129
each,128
Now,128
life,126
feet,125
look,125
Pequod,123
night,123
small,122
full,120
till,119
under,118
As,118
found,118
A,117
thee,117
take,116
between,116
both,116
something,115
tell,115
hands,114
called,112
make,112
soon,111
along,110
times,110
just,109
place,109
body,107
towards,107
saw,107
think,106
This,104
thus,104
another,104
thy,104
line,103
heard,103
sight,102
What,102
work,101
she,101
There,101
sperm,101
let,100
whaling,100
poor,99
moment,99
God,97
nothing,97
went,97
fish,94
strange,94
end,94
sir,92
high,92
captain,92
few,92
don’t,92
get,91
face,91
White,90
also,89
certain,89
“I,89
stood,89
right,88
does,88
dead,87
voyage,87
hold,87
half,87
Flask,86
whose,86
shall,86
Nantucket,84
seem,84
am,83
seems,83
